PRAC-MINER,Miner,true,false,?,?,?,?,?
PRAC-MOTOR-CERT,Motorman (certification obtained),true,false,?,?,?,?,?
PRAC-MOTORMAN,Motorman (unlicensed),true,false,?,?,?,?,?
PRAC-OTH-PROFESS,Other Profession,true,false,?,?,?,?,?
PRAC-OTHER,Other practical skills,true,false,?,?,?,?,?
PRAC-OTHER-MARIN,Other marine,true,false,?,?,?,?,?
PRAC-OTHER-TRADE,Other Trades,true,false,?,?,?,?,?
PRAC-PAINTER,Painter,true,false,?,?,?,?,?
PRAC-PHON-REPAIR,Phone repairer,true,false,?,?,?,?,?
PRAC-PILOT,Pilot,true,false,?,?,?,?,?
PRAC-PILOT-LIC,Pilot (licensed),true,false,?,?,?,?,?
PRAC-PLUMBER,Plumber,true,false,?,?,?,?,?
PRAC-POLICEMAN,Policeman (Law Enforcement Officer),true,false,?,?,?,?,?
PRAC-POSTMAN,Postman,true,false,?,?,?,?,?
PRAC-PRINTING,Printing,true,false,?,?,?,?,?
PRAC-RADIO-OFFIC,Radio Officer (certification obtained),true,false,?,?,?,?,?
PRAC-RAILWAY-WRK,Railway Worker,true,false,?,?,?,?,?
PRAC-SCIENTIST,Scientist,true,false,?,?,?,?,?
PRAC-SHOP-ASSISS,Shop Assistant,true,false,?,?,?,?,?
PRAC-SOUND-LIGHT,Sound/lighting technician,true,false,?,?,?,?,?
PRAC-STUDENT,Student,true,false,?,?,?,?,?
PRAC-TECH-ELEC,Electrical Technician,true,false,?,?,?,?,?
PRAC-TECH-LAB,Laboratory Technician,true,false,?,?,?,?,?
PRAC-TELECOMMS,Telecommunications,true,false,?,?,?,?,?
PRAC-TOOLMAKER,Toolmaker,true,false,?,?,?,?,?
PRAC-TRUCK-DRIVE,Truck Driver,true,false,?,?,?,?,?
PRAC-TRUCK-LIC,Truck driver (licensed),true,false,?,?,?,?,?
PRAC-VET,Vet,true,false,?,?,?,?,?
PRAC-WAITER,Waiter/Waitress,true,false,?,?,?,?,?
PRAC-WAREHOUSE,Warehouse worker,true,false,?,?,?,?,?
PRAC-WELDER,Welder,true,false,?,?,?,?,?
UNEMPLOYED,Unemployed,true,false,?,?,?,?,?
UNKNOWN,Occupation not known,true,false,?,?,?,?,?
